#"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
100.09999999994811	-73048.25574740951	7778.538208371111	298.18071727334006	32.70878460078126	1.1994009933758885	0	--
100.19999999994788	-72942.35776875011	7657.501545954425	293.54092534213396	32.70878460078126	1.1994009933758885	221	13:03
100.29999999994764	-73005.22486170448	7759.390304847791	297.44670588792064	32.70878460078126	1.1994009933758885	229	12:33
100.39999999994741	-72690.75496274699	7485.2035702697285	286.93609386889943	32.86430943699043	1.193725029199567	231	12:29
100.49999999994718	-73043.81974167842	7825.5002150076125	299.9809481712738	32.86430943699043	1.193725029199567	233	12:22
100.59999999994695	-72882.47941665497	7810.614055632806	299.410305518256	32.89302417063027	1.1926829390568405	231	12:26
100.69999999994671	-72686.10216875558	7732.719991912704	296.42433216835343	32.70424698022916	1.1995674068267483	232	12:25
100.79999999994648	-72636.43434881352	7805.5453700576345	299.2160036764509	32.99323211366351	1.189060489955704	231	12:26
100.89999999994625	-72634.98025794342	7852.556316984446	301.0181106403596	33.02130031652362	1.1880497850250953	231	12:27
100.99999999994601	-72737.38956144199	7868.251485179098	301.6197656537618	33.02130031652362	1.1880497850250953	231	12:28
101.09999999994578	-72652.93703035597	7826.740142665591	300.028479276543	33.02130031652362	1.1880497850250953	231	12:28
101.19999999994555	-72702.68198980167	7906.312674220083	303.0787946312506	32.76756835957478	1.197249314071595	230	12:31
101.29999999994531	-72679.63615058866	7792.779547274758	298.7266415248469	32.97487719050573	1.1897223609248362	229	12:34
101.39999999994508	-72729.30711577609	7723.0148028686435	296.05229565546244	32.84189955211174	1.1945395752777779	230	12:32
101.49999999994485	-72804.21312480589	7644.932827931729	293.05911895964675	32.82070049371545	1.19531113450205	230	12:31
101.59999999994461	-72675.94291161699	7678.6059284801495	294.34993594934025	32.65814824085307	1.2012606609832155	230	12:30
101.69999999994438	-72926.70929166026	7857.643379767225	301.2131169498679	32.65814824085307	1.2012606609832155	230	12:32
101.79999999994415	-72784.13128573957	7763.9448044697865	297.62129704216176	32.65814824085307	1.2012606609832155	230	12:31
101.89999999994392	-72845.57075230291	7894.818055839478	302.63816254052904	32.65814824085307	1.2012606609832155	229	12:32
101.99999999994368	-72675.09835976153	7605.515103992766	291.5480888814306	32.761371703921604	1.197475768012454	229	12:32
102.09999999994345	-72844.98240437123	7818.435415524162	299.7101277522006	32.667353232377636	1.2009221703156527	230	12:31
102.19999999994322	-72830.68012204507	7786.309249924076	298.47861061552743	32.65384424374797	1.2014189952475904	230	12:31
102.29999999994298	-72914.51528157995	7967.324286821948	305.417599933775	32.73395399913464	1.1984787643842878	230	12:31
102.39999999994275	-72721.83815303133	7792.150459880012	298.7025262315144	33.11387230438537	1.1847285144328932	230	12:30
102.49999999994252	-72552.85748425618	7673.683983932808	294.161259244773	33.11387230438537	1.1847285144328932	230	12:30
102.59999999994228	-72840.23059576936	7751.129053710563	297.1300209628505	32.80594352602094	1.1958488165773344	230	12:31
102.69999999994205	-73078.56051951731	7907.722986544645	303.1328572236365	32.89722617098519	1.1925305962998196	229	12:32
102.79999999994182	-72648.73446896212	7561.263862086384	289.8517718230814	33.10912357570401	1.1848984360034007	230	12:31
102.89999999994158	-72873.66566079488	7739.602249740818	296.6881550770637	32.94728262182652	1.1907187974375089	230	12:30
102.99999999994135	-73003.55720287946	7689.757967183027	294.77743566849125	33.07945331291456	1.1859612180162251	230	12:31
103.09999999994112	-72757.18590331788	7630.016154615021	292.48730659210946	32.835140151561795	1.1947854816885557	230	12:31
103.19999999994089	-72756.15838938367	7482.92592529118	286.84878314351573	32.85761558092509	1.193968218590695	229	12:32
103.29999999994065	-73079.2832539342	7728.792738272377	296.273785719134	32.92788083675082	1.191420393459069	230	12:31
103.39999999994042	-72975.45056460169	7571.514508583998	290.24471777813045	33.018769016059046	1.188140863858813	230	12:31
103.49999999994019	-73180.87346715882	7866.738257161087	301.5617579145541	32.90692608082984	1.1921790764026805	230	12:31
103.59999999993995	-73034.88321074223	7790.149819005415	298.6258341185475	32.961554566061416	1.1902032309692339	230	12:31
103.69999999993972	-72963.66623825007	7684.221871298458	294.5652162260286	32.961554566061416	1.1902032309692339	230	12:31
103.79999999993949	-73043.55453559294	7558.223782637731	289.73523410785987	32.961554566061416	1.1902032309692339	230	12:31
103.89999999993925	-73108.81715426076	7868.698806435485	301.6369131652232	32.82051685483486	1.1953178225624381	229	12:31
103.99999999993902	-73301.45413408961	7999.708272386348	306.6590002824126	32.82938222526999	1.1949950344206444	229	12:31
104.09999999993879	-73406.27392156256	8095.574726414092	310.33392316106875	32.82938222526999	1.1949950344206444	230	12:31
104.19999999993856	-73198.36506042114	7885.222985892939	302.27034730811584	32.82938222526999	1.1949950344206444	229	12:31
104.29999999993832	-73149.88011206055	7785.533404716272	298.448869541516	32.82938222526999	1.1949950344206444	229	12:31
104.39999999993809	-73228.70162058249	7871.411801456632	301.7409125002775	32.82938222526999	1.1949950344206444	229	12:31
104.49999999993786	-72955.99133551857	7643.721134277533	293.0126701702669	32.95158469240297	1.19056334038283	229	12:31
104.59999999993762	-72980.18851308958	7493.172518298397	287.24157371298435	32.95158469240297	1.19056334038283	229	12:31
104.69999999993739	-73065.02936169712	7452.883775728556	285.6971542043693	32.66426353236976	1.2010357650775676	229	12:32
104.79999999993716	-73346.49201546161	7812.2488903986105	299.47297490291834	32.794949103292794	1.1962497218315853	229	12:32
104.89999999993692	-73175.75703253952	7655.795883779333	293.47554087564805	32.83673005484399	1.1947276320380065	229	12:32
104.99999999993669	-73197.92852225588	7674.049498944935	294.17527081424413	32.83673005484399	1.1947276320380065	229	12:32
105.09999999993646	-73236.82727999281	7814.617474652208	299.5637716738206	32.7365910237763	1.1983822235431267	229	12:32
105.19999999993622	-73143.00574443446	7504.3668234763945	287.67069366559446	32.79849753478606	1.1961203009585026	229	12:33
105.29999999993599	-73115.70640675828	7489.131605797769	287.08667029082477	32.90332897366441	1.192309409594852	229	12:33
105.39999999993576	-73205.67783123642	7648.5493737958805	293.1977548075319	32.86379979653216	1.193743541075086	229	12:33
105.49999999993553	-73076.88568531629	7691.434701940582	294.8417112379224	32.86379979653216	1.193743541075086	229	12:32
105.59999999993529	-73378.57184361221	7891.659014075458	302.517064550925	32.898367843590385	1.1924892118907473	229	12:32
105.69999999993506	-73187.72068530554	7729.246235140181	296.29116996508117	32.89808696993879	1.192499392993367	229	12:32
105.79999999993483	-73197.82982434746	7807.992357746428	299.30980594683354	32.89808696993879	1.192499392993367	229	12:32
105.8999999999346	-73173.12061983589	7850.505004636429	300.9394760986375	32.822297075864114	1.195252990722075	229	12:31
105.99999999993436	-73082.47100548356	7775.105369914314	298.04912362349086	32.822297075864114	1.195252990722075	229	12:31
106.09999999993413	-73179.1807667955	7922.748945529396	303.7088589231552	32.822297075864114	1.195252990722075	229	12:31
106.1999999999339	-73022.35265521062	7778.4622187597315	298.1778043048337	33.02459330679344	1.1879313206932016	229	12:32
106.29999999993366	-73033.5321177936	7691.935710210104	294.8609167751537	32.93357983928391	1.191214223711552	229	12:32
106.39999999993343	-73228.15870909937	7813.178662012022	299.5086165568076	32.93357983928391	1.191214223711552	229	12:32
106.4999999999332	-72953.10908341614	7610.737558545338	291.7482852682964	32.93357983928391	1.191214223711552	229	12:32
106.59999999993296	-73071.44096444431	7656.267213493403	293.49360872187424	32.58609846100844	1.2039167189419007	229	12:31
106.69999999993273	-73144.68621942025	7703.967020708513	295.32212229964324	32.58609846100844	1.2039167189419007	229	12:32
106.7999999999325	-73082.53625208989	7730.771956667069	296.349656627621	32.62742063944091	1.2023919750147691	229	12:32
106.89999999993226	-73218.36379590275	7882.89357243306	302.1810521015248	32.62742063944091	1.2023919750147691	229	12:32
106.99999999993203	-73137.02972594282	7817.321711818695	299.6674352872631	32.62742063944091	1.2023919750147691	229	12:31
107.0999999999318	-73097.58792490014	7669.802652731872	294.0124731759169	32.62742063944091	1.2023919750147691	229	12:31
107.19999999993156	-73016.89557820786	7568.988836924676	290.1478992542897	32.922865849185925	1.1916018770056451	229	12:31
107.29999999993133	-73102.29822770527	7735.250665728858	296.52134244373826	32.922865849185925	1.1916018770056451	229	12:31
107.3999999999311	-73040.36587960643	7661.080572863573	293.67812294691817	32.64962360801172	1.2015743033762976	229	12:31
107.49999999993086	-73083.75402464735	7711.883853144797	295.62560435644457	32.64962360801172	1.2015743033762976	229	12:32
107.59999999993063	-72967.49145832792	7583.185308641326	290.6921035772389	32.64962360801172	1.2015743033762976	229	12:32
107.6999999999304	-73283.07154892207	8056.1586093593705	308.8229546807882	32.64962360801172	1.2015743033762976	229	12:32
107.79999999993017	-73213.2563434869	7903.019635315573	302.95256002569204	32.337254512816855	1.2131811847770142	229	12:32
107.89999999992993	-73071.22909479518	7694.838415711185	294.97218842866494	32.62963066714641	1.2023105361653763	229	12:32
107.9999999999297	-72911.53761279624	7524.116818588496	288.42778549325095	32.368605368896276	1.2120061490197198	229	12:31
108.09999999992947	-73018.72886890394	7655.212540628538	293.45317913177524	32.43022196042227	1.2097033683633838	229	12:31
108.19999999992923	-73032.38236477989	7643.6584839055995	293.01026854513634	32.49589065791325	1.2072587625088422	229	12:31
108.299999999929	-73110.90150126623	7679.900310916715	294.3995545117259	32.539130271706114	1.2056544970535876	229	12:31
108.39999999992877	-73294.8772318755	7896.808006253159	302.7144448477948	32.539130271706114	1.2056544970535876	229	12:31
108.49999999992853	-73350.72955786512	7881.5541548743595	302.12970717299413	32.52552934026993	1.2061586556171149	229	12:31
108.5999999999283	-73112.54776265632	7706.159893081089	295.40618337120037	32.7260571635246	1.198767958702356	229	12:32
108.69999999992807	-73076.20628455371	7594.419436664053	291.12275008973563	32.7371292124445	1.1983625224957715	229	12:32
108.79999999992783	-73222.0251760376	7793.770714247989	298.76463669451743	32.644883613715855	1.2017487703896115	229	12:32
