#"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
100.99999999994601	-52656.38565922232	7471.966330903379	297.0318699215019	30.29453099452371	1.0705359713176201	0	--
101.99999999994368	-52929.686892519414	7704.554473022897	306.27790874391934	30.416863986868908	1.0662304035628052	299	1:54
102.99999999994135	-52686.65245947961	7236.8488588873515	287.68528305650284	30.736053364348333	1.0551577581997666	299	1:54
103.99999999993902	-52639.556023866346	7467.788105062239	296.8657735849305	30.87840238274569	1.0502934951698237	301	1:53
104.99999999993669	-52795.642879609775	7471.495876926079	297.01316804057785	30.569496120947033	1.0609067625949953	302	1:53
105.99999999993436	-52615.39332890508	7555.065819896301	300.335310476768	30.730890896226878	1.0553350136626234	302	1:52
106.99999999993203	-52780.523347893875	7361.246101926762	292.63042655377126	30.75788587685057	1.0544087878368502	302	1:52
107.9999999999297	-52478.45384862446	7272.140040912167	289.08820771171924	30.82276234903684	1.052189443521684	301	1:52
108.99999999992737	-52525.75434381669	7249.578152285971	288.1913085996498	30.970400845479194	1.047173568261008	301	1:52
109.99999999992504	-52721.00241663837	7537.709387775503	299.64534303584367	30.809094570044255	1.052656224287983	301	1:51
110.99999999992271	-52472.96998668436	7391.178075509168	293.8203074619402	30.857886221705762	1.0509917928539643	301	1:51
111.99999999992038	-52570.2146562229	7416.375060228811	294.82195912312403	30.464693485826047	1.0645564242726802	301	1:51
112.99999999991805	-52611.9448545441	7364.186435060188	292.7473131416031	30.357435105022052	1.0683176971848005	302	1:50
113.99999999991572	-52253.26593601846	7251.2827191428105	288.259069970415	30.33347036545555	1.0691617138791936	303	1:50
114.99999999991338	-52753.63337180199	7596.166992264839	301.9691987390986	30.216153178879164	1.0733128393889482	304	1:49
115.99999999991105	-52786.09536150328	7409.518790851815	294.5494029547013	30.16356834179779	1.075183970156935	304	1:49
116.99999999990872	-52722.9155992695	7506.529102363154	298.40583818925313	30.553560585885755	1.0614600898206246	304	1:48
117.9999999999064	-52868.78952246724	7669.264192314025	304.87501991857005	30.770951928287925	1.0539610616992259	304	1:48
118.99999999990406	-52968.837959870405	7369.600450508824	292.9625356227111	30.812311591422194	1.0525463195972198	304	1:48
119.99999999990173	-52756.63456583419	7579.791222026354	301.3182153914858	30.68114573973373	1.0570460907473154	305	1:47
120.9999999998994	-52758.87247936666	7429.478789350129	295.34286954903854	30.64690631722369	1.0582270467413415	305	1:47
121.99999999989707	-52876.62195481022	7482.62048766578	297.45540289333616	30.603768258862708	1.0597186885455587	305	1:47
122.99999999989474	-52753.67027438551	7219.627595180833	287.0006889437052	30.84245311576899	1.0515176935537858	304	1:47
123.99999999989241	-52551.50505084454	7208.793001482003	286.56998309149964	30.8158988476831	1.0524237934494824	304	1:46
124.99999999989008	-52747.08451800959	7527.188082697558	299.22709129554994	30.510210913994193	1.0629682389038746	304	1:46
125.99999999988775	-52297.86325390494	7630.703815442674	303.34213548899163	30.510309169226165	1.0629648157268	304	1:46
126.99999999988542	-52201.28743871843	7793.851562317718	309.82772150232097	30.822776188623955	1.0521889710831414	304	1:45
127.99999999988309	-51952.49228371814	7469.629070978079	296.93895720544305	30.574806047165676	1.0607225149295956	304	1:45
128.99999999988785	-52537.58890445248	7574.796954488428	301.11967908123194	30.675047665324055	1.0572562272004402	304	1:45
129.99999999989262	-52603.430271198915	7564.385973991688	300.705813056184	30.547656533248684	1.0616652419322319	304	1:45
130.9999999998974	-52462.24440934067	7388.244658339065	293.70369580328054	30.7624370951738	1.0542527909442592	304	1:44
131.99999999990217	-52483.92885424147	7265.920176121685	288.8409504319675	30.60725844667489	1.0595978473647798	304	1:44
132.99999999990695	-52423.97830767924	7345.436066083009	292.0019327541173	30.701872015108158	1.0563324981576023	304	1:44
133.99999999991172	-52430.86838373088	7431.6439381795335	295.42894036051916	30.31376313168407	1.0698567849511489	303	1:44
134.9999999999165	-52481.665861784626	7356.197143892603	292.4297161410598	30.72951062215354	1.0553824160302028	303	1:44
135.99999999992127	-52558.279020499205	7521.463891915351	298.9995384645375	30.749011002068887	1.0547131145665825	303	1:43
136.99999999992605	-52406.91489869615	7308.904775524941	290.54971026480683	30.397091413774927	1.066923960663466	303	1:43
137.99999999993082	-52586.13363688573	7683.7534102575355	305.4510074577083	30.317450961914375	1.0697266470250217	303	1:43
138.9999999999356	-52964.31104765675	7451.160390676139	296.2047747423371	30.08673326282701	1.0779297599551645	303	1:43
139.99999999994037	-52734.687632584246	7316.646622259053	290.8574706467786	30.508034979991777	1.0630440533159151	303	1:42
140.99999999994515	-52683.162120151304	7493.118473897299	297.87272764329674	30.679482989867772	1.057103379954121	303	1:42
141.99999999994992	-52870.76124641375	7455.734684842965	296.3866159190464	30.371049321839546	1.0678388099193226	302	1:42
142.9999999999547	-52971.25340889857	7538.540880769558	299.67839724244914	30.34735752697926	1.0686724580551106	303	1:41
143.99999999995947	-52855.84884328002	7364.9879940496085	292.7791773865604	30.160809368096587	1.075282323097714	303	1:41
144.99999999996425	-53111.25190882289	7478.386750217734	297.28709981282725	30.20549967267192	1.0736913977680729	303	1:41
145.99999999996902	-53248.29818424888	7513.2146788089685	298.6716088291702	30.596349957012436	1.059975624850675	303	1:40
146.9999999999738	-52762.269299936335	7257.128088119902	288.4914399786236	30.357342999163514	1.0683209385198111	303	1:40
147.99999999997857	-52673.204936932656	7336.159521098365	291.6331637606325	30.629214545100055	1.0588382903544757	303	1:40
