#"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
100.99999999994601	-72816.60462465102	7668.806752376023	299.5110749960051	29.48480786063908	1.0784493886912518	0	--
101.99999999994368	-72807.81978153536	7535.159136240214	294.291365793255	29.292492911013344	1.0855297672882571	300	1:54
102.99999999994135	-72747.96780137278	7524.41185189461	293.87162243661834	29.42569016320529	1.080616047971109	296	1:55
103.99999999993902	-72972.27867805737	7621.054029672456	297.6460561250445	29.178751574685414	1.089761257660252	296	1:55
104.99999999993669	-72876.23293258931	7332.837052655198	286.38952308073584	29.425557292220894	1.080620927488483	298	1:54
105.99999999993436	-72719.05142012305	7448.757992557765	290.91690347326016	29.527622060535133	1.0768856681989432	299	1:53
106.99999999993203	-72756.04916013399	7387.687401458638	288.531745132287	29.215267008096035	1.088399192250186	300	1:53
107.9999999999297	-73064.76212445003	7181.373572854665	280.47400178485265	29.21954558662883	1.0882398194288236	301	1:52
108.99999999992737	-73343.15170542992	7504.794197855968	293.10544005130885	28.90767519583028	1.099980292347129	300	1:52
109.99999999992504	-72908.89223343227	7630.579874062763	298.0180952160936	28.918984226983717	1.0995501350740835	299	1:52
110.99999999992271	-72553.24531076511	7623.896001205728	297.7570514828001	29.154816121168587	1.0906559273374252	299	1:52
111.99999999992038	-72488.63469936285	7578.854168110697	295.9979084654195	29.179490005611573	1.0897336796109225	298	1:52
112.99999999991805	-72363.16717136189	7719.579104190336	301.4940277764059	29.16753570703268	1.0901803063643236	299	1:51
113.99999999991572	-72393.2339124135	7704.31146842729	300.89773866029003	29.297505341646346	1.085344046948073	298	1:51
114.99999999991338	-72303.66937356911	7471.851983748411	291.8188568475991	29.0279075061397	1.095424222578209	298	1:51
115.99999999991105	-72463.96530031707	7598.803199525626	296.77703304596304	29.14115152773349	1.0911673474098424	298	1:51
116.99999999990872	-72432.45783290855	7700.199731458275	300.73715164858726	29.21001277989601	1.0885949709296374	298	1:51
117.9999999999064	-72326.58780424748	7698.435262185425	300.6682389603721	29.54202627742275	1.0763605960667124	298	1:50
118.99999999990406	-72294.25363999506	7675.360851574203	299.76705032044123	29.334472448286473	1.0839763036148502	297	1:50
119.99999999990173	-72357.84753401135	7517.220699643367	293.59076652111855	29.3616540315914	1.0829728113672552	297	1:50
120.9999999998994	-72711.71488453815	7380.921430513532	288.2674949957801	29.390991667285434	1.081891804568774	297	1:50
121.99999999989707	-72812.93643271297	7421.776638146847	289.8631261744701	29.23137016825418	1.0877996080908423	297	1:49
122.99999999989474	-72683.40583560121	7456.170376582284	291.2063997637723	29.37182400287042	1.0825978328713166	297	1:49
123.99999999989241	-72952.55206606569	7592.828331679642	296.5436800421264	29.32693098785356	1.0842550496045793	297	1:49
124.99999999989008	-72677.40069925858	7401.796815718	289.08279902748086	29.415433927526493	1.0809928247643252	297	1:49
125.99999999988775	-72337.99332093817	7396.276296684097	288.86719096174517	29.669201129337434	1.0717468554130678	297	1:48
126.99999999988542	-72362.41418161482	7396.516222575717	288.87656144975443	29.547097744949035	1.0761758494003344	297	1:48
127.99999999988309	-72569.17460460326	7553.123771874374	294.9929882887015	29.591250079168645	1.0745701154196925	296	1:48
128.99999999988785	-72547.35753847787	7691.101913472223	300.3818294539999	29.20969133107472	1.0886069507744875	297	1:47
129.99999999989262	-72584.86383100698	7518.825870787881	293.653457699886	29.23919522110114	1.0875084889490243	297	1:47
130.9999999998974	-72718.59650450066	7658.431764265527	299.1058719517267	29.160043609867124	1.0904604066581547	297	1:47
131.99999999990217	-72669.99964756094	7585.36244984828	296.25209435411676	29.200969129402342	1.0889321129060774	297	1:47
132.99999999990695	-72618.01501764197	7824.474058883547	305.59077993828384	29.335954494792126	1.083921541350569	297	1:46
133.99999999991172	-72517.52354351181	7608.103319057382	297.14025628114035	29.357546545972074	1.0831243327228235	297	1:46
134.9999999999165	-72447.3394424603	7738.965337582547	302.25117185251986	29.337427585213135	1.0838671155003456	297	1:46
135.99999999992127	-72350.71996035374	7686.573414169543	300.2049654726714	29.428768691663837	1.0805030052783855	297	1:45
136.99999999992605	-72270.71933911688	7796.646106539433	304.50393811390995	29.2764508702896	1.0861245836753535	297	1:45
137.99999999993082	-72158.81434304762	7761.140828784392	303.1172525118574	29.10994853884084	1.0923369710035025	297	1:45
138.9999999999356	-72323.56709357395	7467.138431145979	291.63476546903263	29.057691314717673	1.0943014250027383	297	1:44
139.99999999994037	-72374.9774386005	7489.590516534465	292.5116487245044	29.35070257305541	1.083376894772406	297	1:44
140.99999999994515	-72636.93667963086	7553.818022709798	295.02010278261804	29.42172304915851	1.0807617541588777	297	1:44
141.99999999994992	-72363.97201004115	7365.869091320737	287.6796144508125	29.49758577276689	1.0779822205769138	297	1:44
142.9999999999547	-72872.50487155328	7444.463226070645	290.74916810464947	29.560981118212386	1.0756704212836397	297	1:43
143.99999999995947	-72965.39543299878	7412.5944919588455	289.50451047787726	29.382905090113958	1.0821895559838228	297	1:43
144.99999999996425	-72740.06677951329	7775.130823806405	303.6636423979936	29.355719378535944	1.0831917488704066	297	1:43
145.99999999996902	-72813.11966782893	7425.504539263666	290.0087221853007	29.65766465963916	1.0721637518633984	297	1:42
146.9999999999738	-72764.71653071023	7615.9135375609685	297.4452902995342	29.315145516243067	1.084690949098872	297	1:42
147.99999999997857	-72835.10175345207	7609.0231922572575	297.17618262794383	29.35346701391965	1.0832748648705255	297	1:42
148.99999999998334	-72704.78060558601	7698.81437234626	300.68304539577724	29.179256182492978	1.0897424120106043	297	1:41
149.99999999998812	-72509.52868448902	7662.901962352655	299.28045893478065	29.379647830560767	1.08230953605608	297	1:41
150.9999999999929	-72432.50047489232	7443.084123132671	290.6953061914705	29.365962395157357	1.0828139253569606	297	1:41
151.99999999999767	-72593.51415186748	7570.304893026023	295.66401003066574	29.252385891581483	1.0870181027570922	297	1:41
153.00000000000244	-72845.57818371957	7659.50462093318	299.14777318411154	29.290670337512736	1.0855973129526337	297	1:40
154.00000000000722	-72779.3386412634	7460.862512239225	291.3896546872585	29.11144111024872	1.0922809658430395	297	1:40
155.000000000012	-72546.45078206231	7642.203317576161	298.4720576347938	28.865470988589745	1.1015885736129039	297	1:40
156.00000000001677	-72509.90335036983	7788.7532722439155	304.19567747298515	29.346573340182676	1.0835293321774684	297	1:39
157.00000000002154	-72797.4075465714	7673.4300119626605	299.69163991222894	29.05797283937847	1.0942908229955304	297	1:39
158.00000000002632	-72650.19290689469	7697.280906350848	300.62315471609446	29.10068530466038	1.0926846801058978	297	1:39
159.0000000000311	-72551.10739842715	7555.026760939934	295.0673109726777	28.9886748055385	1.096906748110818	297	1:39
160.00000000003587	-72430.061554102	7665.162777121936	299.36875677351605	29.307899545681202	1.0849591238506533	297	1:38
161.00000000004064	-72634.14034578521	7847.906604508949	306.5059558133289	29.155114992356204	1.0906447469448124	297	1:38
162.00000000004542	-72422.99260039878	7499.964550731385	292.91681451296324	29.2353459652891	1.0876516751585086	297	1:38
163.0000000000502	-72367.90290620297	7605.665609874473	297.0450496966643	29.531492001755314	1.076744548196048	297	1:38
